City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
284,Honiara,SB,-9.4333,159.95,84.02,75,18,8.63,moderate rain
285,Nishihara,JP,26.1842,127.7558,71.6,43,20,5.75,few clouds
286,Awbari,LY,26.5921,12.7805,57.79,35,81,10.74,broken clouds
287,Mungwi,ZM,-10.1732,31.3694,61.97,96,100,1.41,light rain
288,Morozovsk,RU,48.3539,41.8261,23.49,85,0,17.54,clear sky
289,Forrest City,US,35.0081,-90.7898,45.0,56,1,3.44,clear sky
290,Altamira,BR,-3.2033,-52.2064,77.31,76,94,1.77,overcast clouds
291,Sola,VU,-13.8833,167.55,81.52,79,34,11.95,scattered clouds
292,Mbamba,NG,9.9833,13.1,68.43,24,0,5.86,clear sky
293,Rio De Janeiro,BR,-22.9028,-43.2075,75.2,94,90,6.91,light rain
294,Waraseoni,IN,21.75,80.0333,55.96,62,15,8.48,few clouds
295,Khani,GE,41.9563,42.9566,46.4,87,75,6.91,broken clouds
296,Quelimane,MZ,-17.8786,36.8883,82.4,89,20,2.3,few clouds
297,Fortuna,US,40.5982,-124.1573,51.01,93,90,10.36,overcast clouds
298,Shiyan,CN,32.6475,110.7781,50.16,48,59,3.47,broken clouds
299,Shelburne,CA,44.0787,-80.2041,17.01,91,96,17.69,overcast clouds
300,Charagua,BO,-19.8,-63.2167,70.48,56,0,4.59,clear sky
301,Mao,ES,39.8885,4.2658,62.6,67,40,12.66,scattered clouds
302,Alofi,NU,-19.0595,-169.9187,80.6,83,100,13.8,light rain
303,Luganville,VU,-15.5333,167.1667,84.51,68,98,4.23,overcast clouds
304,Abu Kamal,SY,34.4506,40.9171,52.9,83,17,13.47,few clouds
305,Whyalla,AU,-33.0333,137.5833,73.4,53,90,14.97,overcast clouds
306,Farsund,NO,58.0948,6.8047,21.99,73,84,22.73,broken clouds
307,Dunmore Town,BS,25.5,-76.65,74.8,77,9,12.62,clear sky
308,Namibe,AO,-15.1961,12.1522,70.65,80,86,6.55,overcast clouds
309,Namie,JP,37.4833,141.0,54.0,37,0,1.99,clear sky
310,Salina Cruz,MX,16.1667,-95.2,76.21,84,25,9.89,scattered clouds
311,Menongue,AO,-14.6585,17.691,65.7,85,95,3.38,light rain
312,Ugoofaaru,MV,5.6667,73.0,81.25,76,100,10.92,overcast clouds
313,Nome,US,64.5011,-165.4064,15.8,86,90,24.16,light snow
